ID,Date,Time,Magnitude,Epi-Distance,Depth,Distance,UTM_E,UTM_N,Notes
12238,11/02/2020,07:44:56,1.3,15.45,58.9,60.89,424.95,3945.33,CENTRAL CHIBA PREF A
12247,11/02/2020,08:19:33,1.1,15.22,60.4,62.29,427.4,3945.2,CENTRAL CHIBA PREF A
13067,12/02/2020,16:05:28,0.8,15.02,29,32.66,440.2,3923.26,KUJUKURI COAST BOSO PEN
13198,12/02/2020,22:37:30,1.1,10.95,62.4,63.35,420.92,3939.27,CENTRAL CHIBA PREF A
14684,15/02/2020,10:55:33,1.5,16.98,65.1,67.28,416.79,3943.74,CENTRAL CHIBA PREF A
15595,17/02/2020,02:45:25,1.2,10.98,62.5,63.46,419.18,3937.95,CENTRAL CHIBA PREF A
16359,18/02/2020,23:39:51,1.1,16.13,74.9,76.62,413.76,3939.56,CENTRAL CHIBA PREF A
17874,20/02/2020,15:33:37,2.8,17.35,27.5,32.52,437.88,3916.73,KUJUKURI COAST BOSO PEN
17789,20/02/2020,12:53:08,4.3,16.71,27.7,32.35,437.43,3917.18,KUJUKURI COAST BOSO PEN
17873,20/02/2020,15:33:27,2,17.38,45.6,48.8,411.11,3937.59,CENTRAL CHIBA PREF K
18270,20/02/2020,23:04:09,2,16.19,64.2,66.21,416.78,3942.75,CENTRAL CHIBA PREF K
18834,21/02/2020,10:48:21,0.9,19.18,58.2,61.28,427.57,3910.93,SOUTHERN BOSO PENINSULA
18824,21/02/2020,10:28:06,2.3,11.37,73.3,74.18,419.1,3938.4,CENTRAL CHIBA PREF K
19856,22/02/2020,07:32:41,1.4,18.83,21.2,28.36,428.76,3911.36,SOUTHERN BOSO PENINSULA
21146,24/02/2020,09:49:40,1.1,19.15,60.8,63.74,421.36,3948.36,CENTRAL CHIBA PREF A
20997,24/02/2020,04:42:25,0.7,17.41,64.8,67.1,417.16,3944.52,CENTRAL CHIBA PREF A
21573,25/02/2020,02:02:15,0.5,18.94,32.4,37.53,440.34,3916.82,KUJUKURI COAST BOSO PEN
21585,25/02/2020,02:23:46,0.5,18.22,33.7,38.31,439.43,3916.94,KUJUKURI COAST BOSO PEN
21595,25/02/2020,02:50:43,1.1,12.41,61.8,63.03,418.65,3939.4,CENTRAL CHIBA PREF A
21733,25/02/2020,07:16:34,0.7,12.23,62.4,63.59,418.92,3939.4,CENTRAL CHIBA PREF A
22664,26/02/2020,22:23:53,1.3,19.89,30.1,36.08,445.37,3922.89,KUJUKURI COAST BOSO PEN
22441,26/02/2020,11:03:31,1.4,19.87,30.2,36.15,440.88,3916.04,KUJUKURI COAST BOSO PEN
22601,26/02/2020,19:26:27,1.5,19.81,30.7,36.54,445.37,3923.11,KUJUKURI COAST BOSO PEN
23634,28/02/2020,16:36:23,2.1,10.81,62,62.94,420.37,3938.72,CENTRAL CHIBA PREF K
23937,29/02/2020,03:38:41,0.8,18.26,29.9,35.03,444.76,3926.67,KUJUKURI COAST BOSO PEN
24328,29/02/2020,19:19:07,0.8,19.81,32,37.64,446.3,3926.44,KUJUKURI COAST BOSO PEN
23933,29/02/2020,03:32:54,2,19.69,32.5,38,445.93,3925.33,KUJUKURI COAST BOSO PEN
23995,29/02/2020,05:04:02,0.7,14.44,62.8,64.44,418.49,3941.84,CENTRAL CHIBA PREF A
24658,01/03/2020,07:22:11,1.4,16.54,28.1,32.61,437.43,3917.4,KUJUKURI COAST BOSO PEN
25980,03/03/2020,17:54:24,3.1,13.86,22.6,26.51,440.6,3928.69,CENTRAL CHIBA PREF K
25779,03/03/2020,09:13:45,2,14.69,61,62.74,427.94,3944.64,CENTRAL CHIBA PREF K
27343,06/03/2020,09:31:08,1.2,12.55,63.5,64.73,417.65,3938.63,CENTRAL CHIBA PREF A
28249,08/03/2020,01:31:17,0.6,16.95,64.5,66.69,414.05,3941.22,CENTRAL CHIBA PREF A
29837,10/03/2020,23:34:05,1.5,17.01,29.3,33.88,443.77,3928.78,KUJUKURI COAST BOSO PEN
29757,10/03/2020,19:15:33,nan,15.66,53.4,55.65,436.16,3917.52,KUJUKURI COAST BOSO PEN
29514,10/03/2020,06:46:20,1.6,17.79,65.3,67.68,414.61,3942.99,CENTRAL CHIBA PREF A
30070,11/03/2020,12:26:22,1.2,19.7,61.9,64.96,420,3948.48,CENTRAL CHIBA PREF A
30411,12/03/2020,03:15:05,1.7,12.17,65.8,66.92,417.55,3937.97,CENTRAL CHIBA PREF K
31620,13/03/2020,12:50:17,1,7.28,19.8,21.1,419.86,3932.29,CENTRAL CHIBA PREF A
33687,16/03/2020,18:34:16,1.5,11.57,63.9,64.94,420.83,3939.94,CENTRAL CHIBA PREF A
33519,16/03/2020,09:36:18,1.5,10.47,69.1,69.89,422.55,3939.59,CENTRAL CHIBA PREF k
34749,18/03/2020,14:49:29,1.1,8.32,62.1,62.65,427.07,3938.33,CENTRAL CHIBA PREF k
34594,18/03/2020,06:32:26,nan,19.37,64.1,66.96,431.21,3911.23,SOUTHERN BOSO PENINSULA
34613,18/03/2020,07:56:50,1.4,8.56,65.2,65.76,426.26,3938.56,CENTRAL CHIBA PREF A
